1001,1234,7895,2023-06-30
1002,3245,9653,2023-12-12
1003,4321,6578,2023-05-31
1004,5567,7896,2023-07-10
1005,7890,6325,2023-03-31
1006,3245,9653,2023-10-31
1007,5567,5467,2023-01-31
1008,1234,8456,2023-08-31
1009,3245,8542,2023-10-31
1010,4321,8541,2023-09-30
1011,7890,6521,2023-04-30
1012,1234,9652,2023-11-30
1013,5567,7896,2023-07-31
1014,5567,7896,2023-07-31
1015,1234,5698,2023-02-28
1016,3245,9653,2023-12-31
1017,5567,5467,2023-01-31
1018,4321,4875,2022-12-31
1019,7890,4862,2022-11-30
1020,1234,3698,2022-10-31
1021,3245,3646,2022-09-30
1022,4321,3645,2022-08-31
1023,5567,7896,2023-07-30
1024,5567,7896,2023-07-31
1025,3245,9652,2023-11-30
1026,3245,9652,2023-08-30
1027,4321,8541,2022-09-30
1028,5567,5467,2023-10-31
1029,5567,5467,2023-01-30
1001,7890,6521,2023-04-18
1002,1234,8456,2023-08-02
1003,7890,6521,2023-04-08
1004,3245,9653,2023-12-08
1005,4321,8541,2023-12-30
1006,1234,9652,2021-11-30
1007,1234,9652,2023-02-28
1008,1234,9652,2023-01-15
1009,1234,5698,2023-06-28
1010,1234,5698,2023-02-22
1011,5567,7896,2022-04-12
1019,5567,7896,2023-07-31
1020,5567,7896,2023-07-09
1021,5567,7896,2022-07-31
1022,1234,5698,2023-02-27
1001,1234,5698,2022-01-27
1003,1234,5698,2023-05-27
1004,5567,5467,2022-01-30
1005,5567,5467,2021-10-03
